iter	Passed	Remaining
0	198	197839
1	222	110964
2	248	82514
3	269	67228
4	295	58900
5	318	52696
6	345	49069
7	368	45701
8	396	43689
9	431	42755
10	474	42656
11	516	42544
12	554	42084
13	586	41339
14	611	40148
15	630	38798
16	645	37341
17	659	35999
18	673	34796
19	689	33781
20	705	32871
21	719	31993
22	731	31092
23	741	30147
24	753	29370
25	765	28668
26	774	27920
27	790	27427
28	804	26928
29	816	26413
30	830	25966
31	845	25578
32	855	25078
33	873	24819
34	889	24511
35	913	24470
36	932	24279
37	951	24089
38	975	24041
39	995	23884
40	1029	24074
41	1047	23885
42	1066	23735
43	1091	23706
44	1110	23557
45	1130	23448
46	1146	23255
47	1163	23077
48	1181	22931
49	1208	22965
50	1226	22820
51	1240	22607
52	1255	22436
53	1267	22198
54	1280	22003
55	1292	21785
56	1305	21596
57	1317	21392
58	1328	21194
59	1343	21044
60	1355	20870
61	1367	20684
62	1378	20495
63	1390	20340
64	1405	20221
65	1421	20120
66	1434	19982
67	1444	19803
68	1458	19677
69	1470	19539
70	1484	19421
71	1499	19326
72	1510	19183
73	1525	19086
74	1537	18962
75	1553	18883
76	1565	18766
77	1576	18638
78	1589	18534
79	1604	18446
80	1619	18368
81	1636	18320
82	1654	18274
83	1670	18221
84	1683	18121
85	1695	18021
86	1707	17917
87	1720	17828
88	1733	17744
89	1747	17669
90	1760	17590
91	1772	17490
92	1784	17400
93	1797	17328
94	1814	17284
95	1828	17222
96	1839	17120
97	1852	17048
98	1866	16985
99	1880	16928
100	1894	16861
101	1905	16774
102	1917	16702
103	1930	16628
104	1943	16564
105	1954	16485
106	1975	16483
107	1987	16412
108	1998	16339
109	2011	16273
110	2026	16233
111	2039	16173
112	2051	16105
113	2064	16044
114	2079	16003
115	2092	15945
116	2105	15890
117	2117	15827
118	2129	15761
119	2141	15703
120	2154	15649
121	2168	15605
122	2182	15560
123	2195	15508
124	2208	15456
125	2225	15436
126	2238	15385
127	2249	15322
128	2261	15271
129	2274	15221
130	2287	15177
131	2299	15124
132	2310	15063
133	2323	15017
134	2336	14970
135	2346	14906
136	2359	14864
137	2374	14833
138	2392	14821
139	2407	14789
140	2423	14764
141	2434	14712
142	2448	14670
143	2458	14615
144	2471	14573
145	2483	14527
146	2497	14491
147	2509	14447
148	2521	14403
149	2534	14361
150	2546	14317
151	2556	14264
152	2569	14222
153	2581	14184
154	2593	14141
155	2605	14096
156	2622	14080
157	2635	14047
158	2647	14005
159	2661	13973
160	2673	13931
161	2684	13887
162	2698	13857
163	2711	13820
164	2723	13781
165	2733	13734
166	2746	13697
167	2760	13669
168	2772	13632
169	2782	13586
170	2795	13553
171	2809	13523
172	2822	13492
173	2837	13471
174	2854	13455
175	2865	13414
176	2878	13385
177	2891	13352
178	2906	13332
179	2920	13305
180	2934	13278
181	2945	13240
182	2958	13209
183	2973	13185
184	2986	13157
185	2997	13116
186	3014	13105
187	3030	13089
188	3044	13065
189	3058	13038
190	3072	13013
191	3085	12986
192	3097	12952
193	3110	12924
194	3125	12903
195	3138	12873
196	3152	12850
197	3162	12811
198	3176	12785
199	3188	12755
200	3203	12732
201	3216	12706
202	3228	12675
203	3242	12650
204	3254	12622
205	3267	12595
206	3278	12559
207	3291	12531
208	3304	12506
209	3318	12484
210	3333	12466
211	3347	12441
212	3358	12409
213	3372	12388
214	3387	12366
215	3400	12342
216	3413	12318
217	3426	12292
218	3439	12265
219	3452	12241
220	3464	12211
221	3475	12178
222	3486	12147
223	3498	12118
224	3508	12084
225	3519	12052
226	3532	12029
227	3544	12000
228	3553	11965
229	3566	11940
230	3577	11911
231	3587	11874
232	3599	11847
233	3611	11821
234	3622	11793
235	3634	11765
236	3647	11742
237	3659	11715
238	3668	11681
239	3680	11655
240	3692	11628
241	3704	11604
242	3715	11573
243	3726	11547
244	3743	11534
245	3754	11508
246	3766	11482
247	3776	11450
248	3787	11424
249	3800	11401
250	3818	11393
251	3830	11370
252	3840	11340
253	3854	11320
254	3866	11296
255	3876	11266
256	3888	11243
257	3900	11217
258	3910	11186
259	3923	11165
260	3936	11146
261	3952	11134
262	3969	11122
263	3983	11106
264	3999	11093
265	4015	11080
266	4032	11071
267	4049	11060
268	4071	11065
269	4085	11046
270	4097	11021
271	4108	10997
272	4120	10973
273	4135	10956
274	4146	10931
275	4159	10911
276	4171	10889
277	4184	10866
278	4196	10843
279	4205	10814
280	4220	10799
281	4234	10781
282	4248	10763
283	4263	10748
284	4277	10731
285	4289	10709
286	4299	10682
287	4312	10660
288	4324	10639
289	4336	10615
290	4348	10593
291	4362	10577
292	4376	10560
293	4389	10541
294	4401	10517
295	4413	10497
296	4426	10477
297	4438	10455
298	4449	10431
299	4465	10419
300	4487	10420
301	4498	10397
302	4513	10382
303	4530	10371
304	4545	10357
305	4564	10351
306	4582	10344
307	4604	10345
308	4626	10345
309	4649	10349
310	4666	10339
311	4685	10332
312	4696	10309
313	4709	10289
314	4722	10270
315	4741	10262
316	4754	10244
317	4768	10227
318	4778	10201
319	4792	10184
320	4805	10164
321	4819	10148
322	4838	10142
323	4855	10131
324	4873	10122
325	4892	10115
326	4912	10110
327	4951	10144
328	4966	10129
329	4981	10114
330	4996	10098
331	5010	10082
332	5028	10072
333	5040	10050
334	5053	10031
335	5066	10012
336	5080	9994
337	5093	9975
338	5105	9954
339	5118	9935
340	5134	9922
341	5151	9911
342	5165	9893
343	5176	9870
344	5189	9852
345	5204	9837
346	5217	9819
347	5235	9808
348	5248	9791
349	5262	9773
350	5276	9755
351	5291	9741
352	5304	9722
353	5315	9700
354	5326	9678
355	5337	9656
356	5350	9636
357	5363	9618
358	5375	9597
359	5387	9577
360	5402	9562
361	5416	9545
362	5430	9530
363	5443	9511
364	5536	9631
365	5570	9648
366	5601	9662
367	5618	9649
368	5636	9638
369	5660	9638
370	5680	9630
371	5695	9615
